"","outcome","time","age_group","incidence","rates"
"1","all_cases",1,1,54.7354944696339,96.6972784553201
"2","all_cases",1,2,66.4100104937083,117.32180989967
"3","all_cases",1,3,68.4414021876884,120.910524136893
"4","all_cases",1,4,66.4732117413968,117.433463018102
"5","all_cases",1,5,62.5848631123783,110.564195940956
"6","all_cases",1,6,58.2806366010522,102.96022719027
"7","all_cases",1,7,54.5128495551379,96.303947628545
"8","all_cases",1,8,51.6417565513616,91.2317932185524
"9","all_cases",1,9,49.6144759204006,87.6503417019708
"10","all_cases",1,10,48.1995616205807,85.1507139308906
"11","all_cases",1,11,47.1511981992658,83.2986453480537
"12","all_cases",1,12,46.281588340818,81.7623678841409
"13","all_cases",1,13,849.367531199536,125.042145730979
"14","all_cases",1,14,607.4632569627,89.4294946688995
"15","all_cases",1,15,516.188551891763,75.9922198099067
"16","all_cases",1,16,463.851025589195,68.2871965417318
"17","all_cases",1,17,3370.40718111524,99.2368863732192
"18","all_cases",1,18,3057.31311959023,90.0182732686134
"19","all_cases",1,19,3803.52844645113,55.9947656135842
"20","all_cases",1,20,3588.98898426743,52.8363596573859
"21","all_cases",1,21,3901.8388061833,57.4420705642613
"22","all_cases",1,22,2965.28027406609,43.6542479601641
"23","all_cases",1,23,2037.93375066304,30.0020426588009
"24","all_cases",1,24,1435.88926166915,21.1388671824568
"25","all_cases",1,25,1615.47758625534,20.7119813359489
"26","all_cases",2,1,44.8856281366713,79.2962249565785
"27","all_cases",2,2,54.828171515555,96.8610043557194
"28","all_cases",2,3,56.8971910025614,100.516192920345
"29","all_cases",2,4,55.6687712614833,98.3460317312664
"30","all_cases",2,5,52.710430715034,93.1197433354545
"31","all_cases",2,6,49.2083974098664,86.9329518768067
"32","all_cases",2,7,45.9964522542894,81.2586383787465
"33","all_cases",2,8,43.4592667394663,76.776374418278
"34","all_cases",2,9,41.6237663860437,73.5337273845839
"35","all_cases",2,10,40.3332349015486,71.2538378262496
"36","all_cases",2,11,39.3901021038687,69.587672650594
"37","all_cases",2,12,38.6303825730802,68.2455305592795
"38","all_cases",2,13,726.006717399722,106.881219759552
"39","all_cases",2,14,518.158420397544,76.2822198107578
"40","all_cases",2,15,437.488141333732,64.406106796866
"41","all_cases",2,16,390.775194715082,57.529122612689
"42","all_cases",2,17,2881.82859476117,84.8513789098855
"43","all_cases",2,18,2599.21093752346,76.5301005505498
"44","all_cases",2,19,3113.18191061396,45.8316255160204
"45","all_cases",2,20,2949.21572708135,43.417748994595
"46","all_cases",2,21,3218.50308066304,47.3821421781344
"47","all_cases",2,22,2402.05501729385,35.3625612580341
"48","all_cases",2,23,1633.98774963841,24.0552324886224
"49","all_cases",2,24,1148.02499439715,16.9009884860422
"50","all_cases",2,25,1291.86996296632,16.5630193752514
"51","all_cases",3,1,35.2526361845843,62.2783078960946
"52","all_cases",3,2,43.2465141256559,76.4005196107338
"53","all_cases",3,3,45.1682269912433,79.7954721159674
"54","all_cases",3,4,44.5101976045964,78.632978720248
"55","all_cases",3,5,42.3963875385963,74.8986618471801
"56","all_cases",3,6,39.7057606547657,70.1453240080659
"57","all_cases",3,7,37.1169029252851,65.571774446224
"58","all_cases",3,8,34.9946377415729,61.8225205221674
"59","all_cases",3,9,33.4179407425823,59.0370828417672
"60","all_cases",3,10,32.2961831111813,57.055353963751
"61","all_cases",3,11,31.4827720892583,55.6183589599122
"62","all_cases",3,12,30.8438862056839,54.4896850201995
"63","all_cases",3,13,592.771122597273,87.2665487839464
"64","all_cases",3,14,422.201239366808,62.1556004456004
"65","all_cases",3,15,354.339912971272,52.1651951699664
"66","all_cases",3,16,314.688835795387,46.3278449199337
"67","all_cases",3,17,2350.00046097325,69.1924495144973
"68","all_cases",3,18,2107.06007107286,62.0394123375373
"69","all_cases",3,19,2436.11487631903,35.8639835162865
"70","all_cases",3,20,2317.60042434231,34.1192380638236
"71","all_cases",3,21,2537.51887432242,37.3568323750291
"72","all_cases",3,22,1861.52869751375,27.4050436503243
"73","all_cases",3,23,1253.71991289133,18.4570073961021
"74","all_cases",3,24,878.47421214639,12.932717159671
"75","all_cases",3,25,988.720880538182,12.6763556476438
"76","all_cases",4,1,28.9947316246987,51.2229160404536
"77","all_cases",4,2,35.5507600518002,62.8049819835706
"78","all_cases",4,3,37.2965030003926,65.8890610377044
"79","all_cases",4,4,36.9876516989019,65.3434355602896
"80","all_cases",4,5,35.4387781255971,62.607151533605
"81","all_cases",4,6,33.3107988741027,58.8478029751837
"82","all_cases",4,7,31.1636551319548,55.0545978834993
"83","all_cases",4,8,29.3361496748349,51.8260748605863
"84","all_cases",4,9,27.9400940796915,49.359763412581
"85","all_cases",4,10,26.9316015408285,47.5781318626067
"86","all_cases",4,11,26.2018985003017,46.2890177551483
"87","all_cases",4,12,25.6401304695115,45.2965824035182
"88","all_cases",4,13,503.314689424846,74.0969561842354
"89","all_cases",4,14,357.72265735131,52.6631958589519
"90","all_cases",4,15,298.564830027199,43.954101864103
"91","all_cases",4,16,263.701945421965,38.8216595028399
"92","all_cases",4,17,1991.46506267871,58.6358803317913
"93","all_cases",4,18,1774.69259444739,52.2533207053917
"94","all_cases",4,19,1984.39905982487,29.2139159212512
"95","all_cases",4,20,1896.13088795841,27.9144500004919
"96","all_cases",4,21,2082.2626949783,30.6546442843117
"97","all_cases",4,22,1502.40096030253,22.1180387669397
"98","all_cases",4,23,1001.94438882588,14.7504197746959
"99","all_cases",4,24,700.165878361734,10.307698444079
"100","all_cases",4,25,788.178529711461,10.1052092184207
"101","all_cases",5,1,24.4681590199525,43.2261443687881
"102","all_cases",5,2,29.978615482458,52.9610731957566
"103","all_cases",5,3,31.5700006755169,55.7724594567916
"104","all_cases",5,4,31.4916353980903,55.6340171329216
"105","all_cases",5,5,30.348585597321,53.6146729040209
"106","all_cases",5,6,28.6412996695972,50.5985331147375
"107","all_cases",5,7,26.8344981525112,47.4065862600675
"108","all_cases",5,8,25.2362926685079,44.5831510794239
"109","all_cases",5,9,23.9793128487845,42.3625348445977
"110","all_cases",5,10,23.0547914378449,40.7292490731295
"111","all_cases",5,11,22.3840678821014,39.5443297979002
"112","all_cases",5,12,21.8753656105868,38.6456419231283
"113","all_cases",5,13,437.777260636625,64.4486703475999
"114","all_cases",5,14,310.717869887432,45.7432474641608
"115","all_cases",5,15,258.01383398398,37.9842674043237
"116","all_cases",5,16,226.711150278126,33.3759505168272
"117","all_cases",5,17,1730.62757325998,50.9558882986751
"118","all_cases",5,18,1532.87498109824,45.1333421006011
"119","all_cases",5,19,1660.90679337551,24.451529128919
"120","all_cases",5,20,1593.48245492064,23.4589218481835
"121","all_cases",5,21,1755.09966052167,25.8382171983199
"122","all_cases",5,22,1246.46944969469,18.3502675641273
"123","all_cases",5,23,823.515398887365,12.1236247839557
"124","all_cases",5,24,573.961507619567,8.44974358489789
"125","all_cases",5,25,646.218689617423,8.28514709964035
"126","all_cases",6,1,21.1886939273308,37.4325482330727
"127","all_cases",6,2,25.9288122301422,45.8065757974422
"128","all_cases",6,3,27.3902029702306,48.3883101673537
"129","all_cases",6,4,27.4688018472715,48.5271651749341
"130","all_cases",6,5,26.6224219651766,47.031926446739
"131","all_cases",6,6,25.2332316834472,44.5777434563151
"132","all_cases",6,7,23.688637034925,41.8490186996289
"133","all_cases",6,8,22.2689177610875,39.3409023250375
"134","all_cases",6,9,21.1182234835564,37.3080531464647
"135","all_cases",6,10,20.2545202093591,35.7822104219752
"136","all_cases",6,11,19.6236888991613,34.6677659202567
"137","all_cases",6,12,19.1499886464364,33.8309136055762
"138","all_cases",6,13,390.023262201995,57.418424650467
"139","all_cases",6,14,276.618922492415,40.7232703720073
"140","all_cases",6,15,228.625661318173,33.6578009051214
"141","all_cases",6,16,199.914900272106,29.4310615550788
"142","all_cases",6,17,1541.90053243626,45.3990867315777
"143","all_cases",6,18,1357.54909953513,39.9711187691145
"144","all_cases",6,19,1428.06729695806,21.0237138224119
"145","all_cases",6,20,1375.18927743837,20.2452544653173
"146","all_cases",6,21,1519.14295171852,22.3645109304692
"147","all_cases",6,22,1062.7928702785,15.6462186374758
"148","all_cases",6,23,695.957280319222,10.2457403269596
"149","all_cases",6,24,483.81949575454,7.1226913760394
"150","all_cases",6,25,544.811125581628,6.98500428645404
"151","all_cases",7,1,18.8445194439271,33.2912630402387
"152","all_cases",7,2,23.0204095673107,40.6685090845522
"153","all_cases",7,3,24.3770532387805,43.0651943093021
"154","all_cases",7,4,24.5661309119406,43.3992242945687
"155","all_cases",7,5,23.9401706993287,42.2933852121345
"156","all_cases",7,6,22.79323972238,40.2671843872097
"157","all_cases",7,7,21.4501467464747,37.8944382059442
"158","all_cases",7,8,20.167602140805,35.6286584944882
"159","all_cases",7,9,19.0956997376127,33.7350052780014
"160","all_cases",7,10,18.2731440655887,32.2818550756801
"161","all_cases",7,11,17.6662254863468,31.2096554833439
"162","all_cases",7,12,17.2128840154995,30.4087695707085
"163","all_cases",7,13,356.215420073109,52.4413034784817
"164","all_cases",7,14,252.567679741854,37.1824957478826
"165","all_cases",7,15,207.852177988512,30.5995712996419
"166","all_cases",7,16,180.921859183168,26.6349450042572
"167","all_cases",7,17,1409.07541835601,41.4882385624464
"168","all_cases",7,18,1233.35304195027,36.3143409994705
"169","all_cases",7,19,1261.94328205038,18.5780701500943
"170","all_cases",7,20,1219.3647506289,17.9512377441632
"171","all_cases",7,21,1350.90848935124,19.8877976835438
"172","all_cases",7,22,931.716567509638,13.7165401943224
"173","all_cases",7,23,605.007227298132,8.90679230194595
"174","all_cases",7,24,419.558657144961,6.17665649113322
"175","all_cases",7,25,472.512613713134,6.0580676076802
"176","all_cases",8,1,17.229613863044,30.4383249943361
"177","all_cases",8,2,21.0012983082578,37.1014898123095
"178","all_cases",8,3,22.2767000964477,39.3546508196231
"179","all_cases",8,4,22.5471461647125,39.8324285217075
"180","all_cases",8,5,22.088147913832,39.021549180871
"181","all_cases",8,6,21.126963612845,37.3234937069959
"182","all_cases",8,7,19.9370691925485,35.2213924433327
"183","all_cases",8,8,18.7572381528051,33.1370694334513
"184","all_cases",8,9,17.7401800109763,31.3403056461025
"185","all_cases",8,10,16.9411296441625,29.9286805832744
"186","all_cases",8,11,16.3438300451009,28.8734741544049
"187","all_cases",8,12,15.8981262782636,28.0860812265057
"188","all_cases",8,13,333.810814071474,49.1429433389729
"189","all_cases",8,14,236.691839703603,34.8452871417787
"190","all_cases",8,15,194.020258587778,28.5632644973284
"191","all_cases",8,16,168.15767990518,24.7558287126792
"192","all_cases",8,17,1321.60419075005,38.9127716207974
"193","all_cases",8,18,1150.19600927629,33.8658994435542
"194","all_cases",8,19,1146.731964326,16.8819527625596
"195","all_cases",8,20,1111.5347717263,16.3637869127116
"196","all_cases",8,21,1234.89160830667,18.1798209580454
"197","all_cases",8,22,840.283458543518,12.3704807187698
"198","all_cases",8,23,541.289730226732,7.9687563797153
"199","all_cases",8,24,374.485065154813,5.51309231529393
"200","all_cases",8,25,421.799117950555,5.40787166150801
"201","all_cases",9,1,16.1998309973784,28.6190813486059
"202","all_cases",9,2,19.6983816775372,34.7997203030425
"203","all_cases",9,3,20.9204520508162,36.9586645187106
"204","all_cases",9,4,21.2554834160144,37.550540439916
"205","all_cases",9,5,20.9261734324485,36.9687720739308
"206","all_cases",9,6,20.1084614042764,35.5241787903479
"207","all_cases",9,7,19.0348683177232,33.6275387646377
"208","all_cases",9,8,17.9283859579726,31.6727956151799
"209","all_cases",9,9,16.9443729055249,29.9344102208725
"210","all_cases",9,10,16.1520995911443,28.5347576912716
"211","all_cases",9,11,15.5506753348352,27.4722645258108
"212","all_cases",9,12,15.1006410188427,26.677221126831
"213","all_cases",9,13,321.24497997493,47.2930270181638
"214","all_cases",9,14,227.850268476796,33.5436491614902
"215","all_cases",9,15,186.097594935019,27.3969062052393
"216","all_cases",9,16,160.639352220099,23.6489959323827
"217","all_cases",9,17,1273.11449147574,37.4850608076595
"218","all_cases",9,18,1101.84170336208,32.4421750969676
"219","all_cases",9,19,1072.23775205687,15.7852642496945
"220","all_cases",9,20,1042.3665681011,15.345506806638
"221","all_cases",9,21,1161.14510518707,17.0941400659105
"222","all_cases",9,22,780.088801906142,11.4843073308082
"223","all_cases",9,23,498.708474935772,7.34188387353642
"224","all_cases",9,24,344.240834641577,5.06784295733737
"225","all_cases",9,25,387.772210855846,4.97161388197464
"226","all_cases",10,1,15.6757625766576,27.6932471984057
"227","all_cases",10,2,19.0118195440172,33.5868201466606
"228","all_cases",10,3,20.2085357493689,35.7009729694707
"229","all_cases",10,4,20.6007647003583,36.393895769558
"230","all_cases",10,5,20.3757085071381,35.9963051093333
"231","all_cases",10,6,19.6696272924717,34.7489219900569
"232","all_cases",10,7,18.6822718282055,33.0046317961408
"233","all_cases",10,8,17.6233272562992,31.1338702522731
"234","all_cases",10,9,16.6514932500829,29.4170007067979
"235","all_cases",10,10,15.8490182547802,27.999325598057
"236","all_cases",10,11,15.2292129959181,26.9043600316547
"237","all_cases",10,12,14.7625842620179,26.0800004628882
"238","all_cases",10,13,317.769052237083,46.7813080663781
"239","all_cases",10,14,225.499449024071,33.1975663436319
"240","all_cases",10,15,183.566368821924,27.0242642888893
"241","all_cases",10,16,157.850697458835,23.2384558984837
"242","all_cases",10,17,1260.60258657641,37.1166654126565
"243","all_cases",10,18,1085.11058968609,31.9495510496224
"244","all_cases",10,19,1032.36409367715,15.198252429864
"245","all_cases",10,20,1006.33138415527,14.8150042200801
"246","all_cases",10,21,1123.85034617565,16.5450942735994
"247","all_cases",10,22,745.994724831047,10.9823813214437
"248","all_cases",10,23,473.475309121237,6.97040638221073
"249","all_cases",10,24,326.106044626152,4.80086629851608
"250","all_cases",10,25,367.374859072932,4.71010015190192
"251","all_cases",11,1,15.6245403812551,27.602756613824
"252","all_cases",11,2,18.8976723629549,33.3851644959896
"253","all_cases",11,3,20.0976596526023,35.5050961091817
"254","all_cases",11,4,20.5469703339298,36.2988611146186
"255","all_cases",11,5,20.409802892578,36.0565372185814
"256","all_cases",11,6,19.7913304481886,34.9639262400647
"257","all_cases",11,7,18.8648902406245,33.3272506680056
"258","all_cases",11,8,17.829623632606,31.4983192873527
"259","all_cases",11,9,16.8488016443099,29.7655713175689
"260","all_cases",11,10,16.0177188132144,28.2973567939482
"261","all_cases",11,11,15.3636183807572,27.1418044002423
"262","all_cases",11,12,14.8667464452558,26.2640163329314
"263","all_cases",11,13,323.390602845015,47.6089012160225
"264","all_cases",11,14,229.643670389055,33.807670112409
"265","all_cases",11,15,186.370587186815,27.4370955645904
"266","all_cases",11,16,159.685951150258,23.5086381824851
"267","all_cases",11,17,1284.12044996965,37.8091157344969
"268","all_cases",11,18,1099.52909375128,32.3740835683064
"269","all_cases",11,19,1024.27527641737,15.0791705213337
"270","all_cases",11,20,1000.97146803424,14.7360966343657
"271","all_cases",11,21,1120.54543963501,16.4964401174064
"272","all_cases",11,22,735.396439957481,10.8263555454422
"273","all_cases",11,23,463.544994196982,6.82421432278981
"274","all_cases",11,24,318.589312542373,4.6902065106015
"275","all_cases",11,25,358.931625224562,4.60184974758164
"276","all_cases",12,1,16.0556347427448,28.3643401514791
"277","all_cases",12,2,19.3630307162463,34.2072797743067
"278","all_cases",12,3,20.5972469529129,36.3876812170531
"279","all_cases",12,4,21.1098964785855,37.2933424230818
"280","all_cases",12,5,21.0516545843974,37.1904506393382
"281","all_cases",12,6,20.5027990984638,36.2208269560353
"282","all_cases",12,7,19.6151586204822,34.65269608777
"283","all_cases",12,8,18.5801760481656,32.8242664926519
"284","all_cases",12,9,17.5675107234609,31.0352631807453
"285","all_cases",12,10,16.6865924693191,29.4790079839574
"286","all_cases",12,11,15.9792451979065,28.2293882128902
"287","all_cases",12,12,15.4358022965414,27.2693265551478
"288","all_cases",12,13,338.914093239842,49.8942376303566
"289","all_cases",12,14,240.86176194209,35.4591745404357
"290","all_cases",12,15,194.928769808666,28.6970136557406
"291","all_cases",12,16,166.45197236248,24.5047179469691
"292","all_cases",12,17,1346.90661781218,39.6577659032096
"293","all_cases",12,18,1147.37002792648,33.7826924080139
"294","all_cases",12,19,1048.06383108704,15.4293807437015
